Location Name,Position,Class
Black Star Canyon TH,"33.77231416792988, -117.6810404713997",Trailhead/Parking
Beek's Place,"33.82141548068413, -117.63953841756911",Landmark
Hagador and Pleasant's Peak,"33.79643193461321, -117.61604814205909",Landmark
Maple Springs Visitor's Center,"33.7473277849324, -117.58359272845165",Trailhead/Parking
Santiago and Modjeska Peak,"33.714805831005336, -117.53800424064143",Landmark
Trabuco Creek TH,"33.67691322818798, -117.51716634884478",Trailhead/Parking
Ortega Oaks Candy Store,"33.613062000728235, -117.42653249823012",Trailhead/Parking
Sitton Peak and Four Corners,"33.58740333186369, -117.43663849060887",Landmark
